City-Country,City,Country,Search Lats,Search Lngs,Actual Lats,Actual Lngs,Distance (mi),Max Temp (F),Humidity (%),Cloud Cover (%),Wind Speed (mph),Timestamp,Date,Hemisphere
"mountain home, us",mountain home,us,43.987755814009205,-115.2453512397042,43.1329504,-115.6911975,59.06200599307622,32.0,81,1,3.36,1605849029,2020-11-20 05:10:29,Northern
"bilibino, ru",bilibino,ru,68.17682282890664,164.0257272042918,68.05359949999999,166.448224,8.514004323203084,8.91,88,95,0.38,1605849030,2020-11-20 05:10:30,Northern
"aykhal, ru",aykhal,ru,65.96922249287016,110.12473136664181,65.94171899999999,111.4881131,1.9003289334695128,3.2,84,0,4.47,1605849031,2020-11-20 05:10:31,Northern
"nova friburgo, br",nova friburgo,br,-22.178870770851347,-42.55991043789203,-22.2887261,-42.5340796,7.590354485610737,61.21,96,80,5.75,1605849032,2020-11-20 05:10:32,Southern
"loandjili, cg",loandjili,cg,-4.802576185760344,10.957595268032037,-4.76732,11.8627984,2.435994228094615,76.35,88,99,3.42,1605849034,2020-11-20 05:10:34,Southern
"tatarasti, ro",tatarasti,ro,46.204192898384235,27.1815871754564,46.2168036,27.2086141,0.8713250082424286,39.2,100,90,2.24,1605849035,2020-11-20 05:10:35,Northern
"macusani, pe",macusani,pe,-14.294342405597178,-70.13337916758336,-14.072176,-70.4253389,15.350386607049844,38.57,78,100,2.26,1605849036,2020-11-20 05:10:36,Southern
"gimbi, et",gimbi,et,8.96497883557305,35.4424364441,9.186040199999999,35.8334494,15.274034788087556,61.59,74,0,1.97,1605849037,2020-11-20 05:10:37,Northern
"sitangkai, ph",sitangkai,ph,4.1639795150957895,119.35959460642181,4.7437631,119.4005185,40.05962176314778,84.04,68,98,3.18,1605849038,2020-11-20 05:10:38,Northern
"olbia, it",olbia,it,40.8798344195161,9.802635427674772,40.92357639999999,9.4964429,3.0223125300191582,59.0,58,40,16.11,1605849039,2020-11-20 05:10:39,Northern
"vilhena, br",vilhena,br,-12.448612711660658,-60.523472012316375,-12.7414031,-60.1304566,20.230086739515027,66.09,97,77,2.01,1605849040,2020-11-20 05:10:40,Southern
"moree, au",moree,au,-29.53925840413538,146.82064356711038,-29.465833,149.833889,5.073261806740591,95.0,19,32,8.05,1605849043,2020-11-20 05:10:43,Southern
"safita, sy",safita,sy,34.46513516575706,36.13452694210605,34.8190348,36.1192307,24.45237474639878,62.01,69,77,4.0,1605849044,2020-11-20 05:10:44,Northern
"milkovo, ru",milkovo,ru,54.9417355426977,159.08899556605706,54.687013,158.6173329,17.599823418082792,20.14,91,45,1.5,1605849045,2020-11-20 05:10:45,Northern
"vila praia de ancora, pt",vila praia de ancora,pt,41.9754601472423,-10.189155139022745,41.8207698,-8.8528164,10.68818945945192,57.99,93,0,3.36,1605849047,2020-11-20 05:10:47,Northern
"killorglin, ie",killorglin,ie,52.00959898724648,-9.772758887936362,52.10635079999999,-9.7843403,6.684978886466337,51.91,94,100,7.29,1605848785,2020-11-20 05:06:25,Northern
"ulaanbaatar, mn",ulaanbaatar,mn,47.68629009406277,106.80286754063553,47.88639879999999,106.9057439,13.826329823881224,6.8,71,0,8.95,1605849050,2020-11-20 05:10:50,Northern
"vikhorevka, ru",vikhorevka,ru,55.865744248470065,101.12973868703858,56.1222142,101.1718082,17.72055904894172,10.4,85,90,8.95,1605849051,2020-11-20 05:10:51,Northern
"shitanjing, cn",shitanjing,cn,41.141131298987744,104.86692031585653,40.70229700000001,100.912152,30.320858492482166,37.0,71,100,1.97,1605849052,2020-11-20 05:10:52,Northern
"kawambwa, zm",kawambwa,zm,-9.283097653465532,29.400607177829613,-9.7936959,29.0809012,35.279323460799034,67.15,91,31,2.26,1605849053,2020-11-20 05:10:53,Southern
"tema, gh",tema,gh,5.727272118538167,0.03923642000683003,5.7348119,0.0302354,0.5209543722900132,77.0,94,0,6.93,1605849054,2020-11-20 05:10:54,Northern
"kayes, ml",kayes,ml,13.696097300110551,-12.359901376395527,14.4367876,-11.4452717,51.17732552242937,71.08,25,77,3.09,1605849055,2020-11-20 05:10:55,Northern
"la maddalena, it",la maddalena,it,41.28339923687042,9.478985309692405,41.2165538,9.404712199999999,4.618624927202921,59.0,58,40,16.11,1605849056,2020-11-20 05:10:56,Northern
"port-gentil, ga",port-gentil,ga,-0.23350649408256174,3.986290484854294,-0.7351025999999999,8.7591311,34.65732870695225,78.21,87,100,13.82,1605849057,2020-11-20 05:10:57,Southern
"ylojarvi, fi",ylojarvi,fi,62.2224213629415,23.595416786171427,61.549558,23.5960975,46.49088473618976,28.4,92,90,6.93,1605849058,2020-11-20 05:10:58,Northern
"lichinga, mz",lichinga,mz,-13.483817914187895,36.20293027548641,-13.3023564,35.2478112,12.537918996337542,69.8,68,40,10.29,1605849059,2020-11-20 05:10:59,Southern
"coxim, br",coxim,br,-17.766273964855586,-54.81096165188792,-18.5029929,-54.7492312,50.90292767172807,71.85,66,26,3.65,1605849060,2020-11-20 05:11:00,Southern
"tuy hoa, vn",tuy hoa,vn,13.398824917593231,109.04682491398154,13.1057062,109.295048,20.25277235198678,80.69,80,71,8.57,1605849061,2020-11-20 05:11:01,Northern
"ourinhos, br",ourinhos,br,-22.610250134872942,-49.84732506821217,-22.9799015,-49.8698965,25.540726327510054,58.5,89,1,5.26,1605849063,2020-11-20 05:11:03,Southern
"kargasok, ru",kargasok,ru,59.557221015474994,80.35756231215453,59.0535405,80.8770602,34.801349097748556,20.7,92,99,12.1,1605849064,2020-11-20 05:11:04,Northern
"san lawrenz, mt",san lawrenz,mt,35.338453097274225,13.56868407176583,36.0482955,14.1959978,49.0459180028988,64.0,87,20,9.17,1605849065,2020-11-20 05:11:05,Northern
"afareaitu, pf",afareaitu,pf,-17.63491397684234,-149.78062563136035,-17.5509809,-149.7908903,5.7992799369731935,80.6,78,75,4.7,1605849066,2020-11-20 05:11:06,Southern
"adilcevaz, tr",adilcevaz,tr,38.83951746088462,42.91260180027314,38.804925,42.736511,2.3901347588574864,42.8,48,75,12.75,1605849067,2020-11-20 05:11:07,Northern
"leiyang, cn",leiyang,cn,26.20118731476653,113.09499016703586,26.422277,112.859759,15.275991588567644,63.09,71,100,5.66,1605849068,2020-11-20 05:11:08,Northern
"brandfort, za",brandfort,za,-28.80995164458244,26.32323314002946,-28.6882962,26.4547962,8.405672775653574,60.8,77,0,8.05,1605849069,2020-11-20 05:11:09,Southern
"haverfordwest, gb",haverfordwest,gb,51.96146298419376,-5.3370314070472205,51.800475,-4.971318999999999,11.123318981649222,50.0,93,100,17.22,1605849070,2020-11-20 05:11:10,Northern
"la paz, mx",la paz,mx,24.4747702702076,-110.32155514214041,24.1426408,-110.3127531,22.948184976829484,75.2,53,5,5.82,1605849027,2020-11-20 05:10:27,Northern
"belluru, in",belluru,in,12.969316579372702,76.8214727113209,12.9820426,76.7322092,0.8792928709146439,75.69,66,100,10.89,1605849072,2020-11-20 05:11:12,Northern
"ribeira brava, cv",ribeira brava,cv,16.79738917709659,-24.020199612563204,16.616129,-24.2969999,12.52400779233893,72.88,80,70,13.67,1605849073,2020-11-20 05:11:13,Northern
"innisfail, au",innisfail,au,-16.883208884422913,148.20797598326897,-17.5226261,146.0285223,44.179953471941,77.0,62,84,8.01,1605849074,2020-11-20 05:11:14,Southern
"kano, ng",kano,ng,12.348786141457936,8.422495759508593,12.0021794,8.591956099999999,23.94847892365919,55.4,76,0,2.24,1605849075,2020-11-20 05:11:15,Northern
"bukachacha, ru",bukachacha,ru,53.59848343601806,115.94073056611586,52.9814526,116.9023537,42.63318684878961,17.24,83,48,9.89,1605849079,2020-11-20 05:11:19,Northern
"harrisonburg, us",harrisonburg,us,38.39262289542137,-79.09429483667009,38.4495688,-78.8689155,3.9346257082412364,44.01,69,1,3.36,1605849061,2020-11-20 05:11:01,Northern
"awbari, ly",awbari,ly,26.139922046485296,12.96252624241842,26.5810176,12.7939759,30.477097826294255,50.7,73,0,4.65,1605849081,2020-11-20 05:11:21,Northern
"jiamusi, cn",jiamusi,cn,46.699667275077985,130.34907203669502,46.799777,130.3188779,6.916990786917947,28.54,90,100,4.59,1605849082,2020-11-20 05:11:22,Northern
"mincivan, az",mincivan,az,38.896967160057955,46.87035210133499,39.0296911,46.7193087,9.170440439205326,39.88,81,100,3.15,1605849083,2020-11-20 05:11:23,Northern
"shetpe, kz",shetpe,kz,44.7703492848934,52.34527522669242,44.13946259999999,52.1629811,43.590544179363,23.32,72,0,17.72,1605849084,2020-11-20 05:11:24,Northern
"ahipara, nz",ahipara,nz,-35.33339787857419,166.86018827886312,-35.1713483,173.1533404,11.196668884014649,63.72,60,85,8.46,1605849085,2020-11-20 05:11:25,Southern
"libreville, ga",libreville,ga,1.0828741136626405,7.872833460122337,0.4161976,9.4672676,46.063409987903995,77.0,94,75,4.7,1605849087,2020-11-20 05:11:27,Northern
"praxedis guerrero, mx",praxedis guerrero,mx,31.878271716478963,-105.16386734148001,31.3710969,-106.0081819,35.0427846612763,68.0,29,5,8.19,1605849088,2020-11-20 05:11:28,Northern
"sobolevo, ru",sobolevo,ru,54.50644971078228,157.08006290826637,54.300693,155.956757,14.2165736039752,33.01,94,100,17.98,1605849089,2020-11-20 05:11:29,Northern
"benemerito de las americas, mx",benemerito de las americas,mx,16.475013011294337,-90.64837028463144,16.5142764,-90.65409540000002,2.712868286790486,70.47,98,97,2.15,1605849090,2020-11-20 05:11:30,Northern
"banganapalle, in",banganapalle,in,15.153443633571726,78.0639705147945,15.3181028,78.225545,11.376975993622926,79.11,66,94,6.55,1605849092,2020-11-20 05:11:32,Northern
"loukhi, ru",loukhi,ru,66.04709509518301,33.33596601557193,66.0750517,33.0481775,1.9316362931104143,30.43,97,98,10.54,1605849093,2020-11-20 05:11:33,Northern
"kudahuvadhoo, mv",kudahuvadhoo,mv,2.10390814655527,63.037563030913816,2.6707463,72.8943768,39.16516889947585,82.72,65,90,4.45,1605849094,2020-11-20 05:11:34,Northern
"amahai, id",amahai,id,-3.8443403757416093,130.53944288464902,-3.3393615,128.9229993,34.89105812461153,86.85,63,15,6.2,1605849095,2020-11-20 05:11:35,Southern
"two hills, ca",two hills,ca,53.38884450064438,-111.51798483638213,53.7103861,-111.7463587,22.21662562839161,8.6,92,99,6.93,1605849096,2020-11-20 05:11:36,Northern
"bushehr, ir",bushehr,ir,28.1699833365369,49.686601556509515,28.9233837,50.820314,52.05551585517218,64.4,72,36,4.7,1605849097,2020-11-20 05:11:37,Northern
"belaya gora, ru",belaya gora,ru,69.37136683048996,145.6516561005704,68.549671,146.232876,56.77432930292738,-4.07,89,100,3.11,1605849098,2020-11-20 05:11:38,Northern
"bartica, gy",bartica,gy,6.656683082729913,-59.01227998637192,6.4043217,-58.625825,17.436681208309057,75.2,94,40,4.7,1605849100,2020-11-20 05:11:40,Northern
"tinaquillo, ve",tinaquillo,ve,9.627320545219149,-68.11578604260731,9.9128832,-68.3076366,19.73069303452456,69.28,94,14,2.98,1605849101,2020-11-20 05:11:41,Northern
"pitimbu, br",pitimbu,br,-8.3011686654893,-27.6679156046971,-7.472544800000001,-34.8081102,57.25301560737169,77.0,88,20,3.36,1605849103,2020-11-20 05:11:43,Southern
"ust-charyshskaya pristan, ru",ust-charyshskaya pristan,ru,52.442705162002994,83.94213330903466,52.40087500000001,83.656612,2.8902171633702953,16.03,89,99,9.86,1605849104,2020-11-20 05:11:44,Northern
"alappuzha, in",alappuzha,in,8.936759933810421,75.18175736845666,9.498066699999999,76.3388484,38.78298270615075,83.73,69,3,2.86,1605849105,2020-11-20 05:11:45,Northern
"severnoye, ru",severnoye,ru,55.88364881164205,78.54327815751844,55.8580021,37.4322487,1.7720363159618808,15.13,94,66,13.6,1605849106,2020-11-20 05:11:46,Northern
"itaituba, br",itaituba,br,-4.6526956678423375,-55.1420363942089,-4.2670701,-55.99311729999999,26.644449398330902,75.25,88,97,1.99,1605849108,2020-11-20 05:11:48,Southern
"tigil, ru",tigil,ru,58.626607537533005,156.15383551545125,57.779388,158.5752259,58.537866727510284,14.32,95,94,5.79,1605849109,2020-11-20 05:11:49,Northern
"jacareacanga, br",jacareacanga,br,-5.5371866272137,-58.29298412333581,-6.2238568,-57.76075840000001,47.444853759354444,73.8,92,100,0.85,1605849110,2020-11-20 05:11:50,Southern
"katobu, id",katobu,id,-4.522084375649854,123.84474619780838,-4.830303199999999,122.7124903,21.296100554121132,89.64,54,26,3.06,1605849111,2020-11-20 05:11:51,Southern
"trebur, de",trebur,de,49.812724902415766,8.374720064376362,49.92677219999999,8.406381,7.879994748537165,41.0,93,75,4.0,1605849112,2020-11-20 05:11:52,Northern
"anuppur, in",anuppur,in,23.07926325218635,81.55917280663232,23.1136554,81.69762899999999,2.3762943086163975,78.8,56,32,4.83,1605849113,2020-11-20 05:11:53,Northern
"sokolo, ml",sokolo,ml,15.197461433531998,-5.650234816025147,14.7384717,-6.118242899999999,31.713479990120167,71.13,27,43,10.0,1605849114,2020-11-20 05:11:54,Northern
"ostashkov, ru",ostashkov,ru,57.1002042390582,33.06195151251802,57.14026819999999,33.1285156,2.7681831004695194,41.22,85,100,14.07,1605849115,2020-11-20 05:11:55,Northern
"nagornskiy, ru",nagornskiy,ru,58.72092715677837,57.32879963303574,59.5707411,50.6525235,58.71712483914506,24.01,82,100,5.99,1605849116,2020-11-20 05:11:56,Northern
"kwakoa, tz",kwakoa,tz,-3.600071671196602,37.86999692614961,-3.7688094,37.7144645,11.658780567500028,73.33,79,19,4.61,1605849117,2020-11-20 05:11:57,Southern
"koszalin, pl",koszalin,pl,54.22885010982603,16.028654815995566,54.1943219,16.1714908,2.385695390147735,41.0,57,60,16.64,1605848888,2020-11-20 05:08:08,Northern
"amapa, br",amapa,br,1.0069925774214141,-50.33321897910537,0.9019925,-52.0029565,7.254885264297409,71.96,98,100,1.43,1605849119,2020-11-20 05:11:59,Northern
"saint george, us",saint george,us,37.58482852277055,-114.84112954685907,37.0965278,-113.5684164,33.738696248345526,54.0,34,1,4.7,1605849120,2020-11-20 05:12:00,Northern
"shimoni, ke",shimoni,ke,-4.6893341297210895,39.45107706953445,-4.647162799999999,39.38041339999999,2.9137898379013003,79.86,82,66,9.42,1605849122,2020-11-20 05:12:02,Southern
"vokhma, ru",vokhma,ru,58.696370871417,46.90223286924379,58.92671060000001,46.750784,15.915114957222302,32.27,93,100,14.54,1605849123,2020-11-20 05:12:03,Northern
"bagdarin, ru",bagdarin,ru,54.442650526269404,115.00128761570443,54.4479459,113.5909765,0.3658790525731242,9.5,74,72,10.49,1605849124,2020-11-20 05:12:04,Northern
"taitung, tw",taitung,tw,22.244743708048674,121.35859798688455,22.7613207,121.1438152,35.692419461192195,86.0,70,40,6.93,1605849125,2020-11-20 05:12:05,Northern
"vorukh, tj",vorukh,tj,39.81388364970789,70.67776715373975,39.8419252,70.6335763,1.9375055237891639,26.06,73,0,4.79,1605849126,2020-11-20 05:12:06,Northern
"van, tr",van,tr,38.21439538433347,43.6417575398244,38.5012085,43.3729793,19.817092497037997,42.8,48,75,12.75,1605849127,2020-11-20 05:12:07,Northern
"wajima, jp",wajima,jp,37.764995719246485,137.03826776468867,37.3904768,136.8992582,25.87704557147079,60.8,82,75,14.99,1605849128,2020-11-20 05:12:08,Northern
"uusikaupunki, fi",uusikaupunki,fi,60.9493500403168,20.848671679641996,60.807601,21.402722,9.794021576720409,30.2,92,75,5.82,1605849129,2020-11-20 05:12:09,Northern
"ravne, si",ravne,si,46.01570264785195,15.05674219727564,46.5521194,14.9599084,37.063229725652256,39.99,89,100,3.13,1605849130,2020-11-20 05:12:10,Northern
"birao, cf",birao,cf,11.098531701479288,23.087693394582573,10.2933091,22.7822485,55.63612646213068,71.67,39,1,4.38,1605849131,2020-11-20 05:12:11,Northern
"bar-le-duc, fr",bar-le-duc,fr,48.77412091612851,5.353665029348321,48.773605,5.158238000000001,0.035646757699774635,37.4,100,90,2.24,1605849132,2020-11-20 05:12:12,Northern
"hit, iq",hit,iq,33.012702016473014,42.3143115503878,32.6937529,-97.1213848,22.037500371297877,62.01,42,100,8.48,1605849133,2020-11-20 05:12:13,Northern
"varzea da palma, br",varzea da palma,br,-17.36666002126053,-44.586798827619646,-17.6007007,-44.7396688,16.170828756806916,68.58,95,82,1.83,1605849135,2020-11-20 05:12:15,Southern
"west lafayette, us",west lafayette,us,40.42528307188391,-87.16016000382469,40.4258686,-86.90806549999999,0.04045653494336286,60.8,29,1,12.75,1605849136,2020-11-20 05:12:16,Northern
"alberton, ca",alberton,ca,47.132936271471465,-64.51431284965336,46.8131294,-64.0648274,22.096766176157452,33.8,100,100,6.93,1605849137,2020-11-20 05:12:17,Northern
"henties bay, na",henties bay,na,-21.476114103336073,12.695301618129832,-22.1134964,14.2832038,44.03935259240208,57.99,88,75,5.32,1605849138,2020-11-20 05:12:18,Southern
"pangody, ru",pangody,ru,66.52558834383404,74.89057347134954,65.85451730000001,74.4882052,46.36704607053249,22.1,97,100,18.61,1605849139,2020-11-20 05:12:19,Northern
"fukue, jp",fukue,jp,32.40985912797055,128.57278235159953,32.7018615,128.7577605,20.17563946618886,59.0,77,75,11.41,1605849140,2020-11-20 05:12:20,Northern
"mahon, es",mahon,es,39.05989862650941,3.994321420956112,39.9148178,4.2230836,59.06986610142506,57.2,54,96,28.86,1605849141,2020-11-20 05:12:21,Northern
"nikolayevsk-na-amure, ru",nikolayevsk-na-amure,ru,53.57575512377184,140.5453760088476,53.1500944,140.718478,29.41064224256165,21.18,86,8,7.63,1605849142,2020-11-20 05:12:22,Northern
"mandalgovi, mn",mandalgovi,mn,45.77150829033894,106.48223503936134,45.7631589,106.2650297,0.5768935644945379,16.59,79,100,19.71,1605849143,2020-11-20 05:12:23,Northern
"segezha, ru",segezha,ru,63.763331720559194,33.206074796754905,63.7397166,34.3190093,1.6316653698446717,32.92,91,80,10.71,1605849144,2020-11-20 05:12:24,Northern
"berezniki, ru",berezniki,ru,59.33128888450079,57.02603391811928,59.41318270000001,56.7849318,5.658379021167429,24.01,82,100,5.99,1605849145,2020-11-20 05:12:25,Northern
"tautira, pf",tautira,pf,-17.00548342682353,-147.76835643303014,-17.7496214,-149.1611957,51.415539386079274,80.6,78,75,4.7,1605849146,2020-11-20 05:12:26,Southern
"ornes, no",ornes,no,66.86260293291832,13.305487979892007,66.86878,13.7040872,0.4267988562289709,37.4,47,40,20.8,1605849147,2020-11-20 05:12:27,Northern
"kang, bw",kang,bw,-23.235724503379743,22.966489980990644,-23.6719404,22.7926759,30.139942352053527,76.28,53,97,5.44,1605849149,2020-11-20 05:12:29,Southern
"contamana, pe",contamana,pe,-7.477486121897542,-75.34425061308742,-7.3472841,-75.00561859999999,8.996190795698976,73.11,95,45,2.68,1605849150,2020-11-20 05:12:30,Southern
"upington, za",upington,za,-28.677461336504315,20.220520945015465,-28.3952677,21.2368084,19.49791376759603,73.4,40,0,10.29,1605849151,2020-11-20 05:12:31,Southern
"molina, cl",molina,cl,-35.902354053941835,-69.70221174807631,-35.1164987,-71.2829759,54.297964031968114,55.4,71,90,5.82,1605849152,2020-11-20 05:12:32,Southern
"pahrump, us",pahrump,us,36.54864573097446,-116.64026593644138,36.2082943,-115.9839147,23.51627391043765,45.0,49,0,0.31,1605849153,2020-11-20 05:12:33,Northern
"vicam, mx",vicam,mx,27.545852826170204,-110.24782785812504,27.6444484,-110.2956136,6.81237188837399,80.01,42,0,7.0,1605848978,2020-11-20 05:09:38,Northern
"dondo, mz",dondo,mz,-19.21961455850031,35.634051198548235,-19.6115404,34.7409293,27.079761101333954,82.4,78,40,10.29,1605849155,2020-11-20 05:12:35,Southern
"porto santo, pt",porto santo,pt,32.42571482922911,-16.03367984246529,33.0759749,-16.3346061,44.929130732570506,68.0,77,40,14.99,1605849156,2020-11-20 05:12:36,Northern
"yarensk, ru",yarensk,ru,62.510044208115545,49.114438092136936,62.17895559999999,49.09311460000001,22.876267553155593,37.35,85,100,15.48,1605849157,2020-11-20 05:12:37,Northern
"aranos, na",aranos,na,-24.63900825314741,18.653038946179066,-24.1377718,19.1107114,34.6324788244986,75.16,20,65,13.44,1605849158,2020-11-20 05:12:38,Southern
"murdochville, ca",murdochville,ca,49.269768763786345,-65.07812502891886,48.959142,-65.4949729,21.462474948902834,24.8,62,90,4.7,1605849032,2020-11-20 05:10:32,Northern
"mlowo, tz",mlowo,tz,-8.629517286145358,33.01464673271724,-9.0156495,32.9972793,26.679455645746618,68.81,59,0,3.71,1605849160,2020-11-20 05:12:40,Southern
"bloomington, us",bloomington,us,39.195463057999035,-86.66107108300415,39.165325,-86.52638569999999,2.082361825259856,45.0,75,40,4.7,1605849161,2020-11-20 05:12:41,Northern
"kasungu, mw",kasungu,mw,-13.265971211322793,33.18378219444739,-13.0356794,33.4719832,15.911804157521075,79.18,41,24,6.8,1605849162,2020-11-20 05:12:42,Southern
"agnibilekrou, ci",agnibilekrou,ci,7.412312644848569,-3.297921702373287,7.1302807,-3.2030756,19.486741829065863,69.12,99,18,1.45,1605849164,2020-11-20 05:12:44,Northern
"tarko-sale, ru",tarko-sale,ru,64.26705710776923,78.2898498775811,64.91207779999999,77.7636861,44.56712061697537,19.99,89,99,5.99,1605849165,2020-11-20 05:12:45,Northern
"riverton, us",riverton,us,43.14641322452104,-107.73441295347632,43.024673,-108.3806054,8.411530568737055,41.0,64,1,3.67,1605849166,2020-11-20 05:12:46,Northern
"nizhnyaya tavda, ru",nizhnyaya tavda,ru,58.148553954070366,66.16035328840945,57.670116,66.1742259,33.05723717645358,23.65,90,75,14.32,1605849167,2020-11-20 05:12:47,Northern
"wuwei, cn",wuwei,cn,38.79060903577127,103.6585117527348,37.928267,102.638201,59.582742048771955,33.51,83,74,14.03,1605849168,2020-11-20 05:12:48,Northern
"khatra, in",khatra,in,22.954836165005034,86.81169315619991,22.9731219,86.8546573,1.2634363004266194,85.1,45,1,3.67,1605849169,2020-11-20 05:12:49,Northern
"amudat, ug",amudat,ug,2.291654166967092,35.56407246875577,1.9534181,34.9437716,23.370114749963196,73.99,55,8,6.08,1605849170,2020-11-20 05:12:50,Northern
"salur, in",salur,in,18.357585701162392,83.00602263462008,18.5163848,83.20508629999999,10.972079930159175,86.25,47,32,2.53,1605849171,2020-11-20 05:12:51,Northern
"quebrada larga, hn",quebrada larga,hn,14.167512744439833,-86.41764517598126,14.11684,-86.355797,3.501187389249305,68.54,88,25,1.57,1605849172,2020-11-20 05:12:52,Northern
"magistralnyy, ru",magistralnyy,ru,55.45381372376224,107.46706122017747,54.9277808,73.2354848,36.34576850663947,12.27,90,100,4.18,1605849173,2020-11-20 05:12:53,Northern
"meiganga, cm",meiganga,cm,6.260725423331863,14.20152609775323,6.516396599999999,14.2919273,17.6653684232137,64.4,57,7,2.13,1605849174,2020-11-20 05:12:54,Northern
"kumluca, tr",kumluca,tr,35.77213148831747,29.731848146735103,36.366948,30.28576499999999,41.09830822549731,56.97,68,17,9.1,1605849175,2020-11-20 05:12:55,Northern
"ashland, us",ashland,us,41.48585248560681,-123.02017028591514,42.1945758,-122.7094767,48.96859560797374,59.0,30,1,23.04,1605849176,2020-11-20 05:12:56,Northern
"palu, id",palu,id,-1.324184958717268,118.88905257387688,-0.8679099,119.9046594,31.525911992130037,86.54,68,100,3.33,1605849011,2020-11-20 05:10:11,Southern
"aasiaat, gl",aasiaat,gl,69.12822397222797,-53.10869769018035,68.70697659999999,-52.85912219999999,29.105705714246465,25.29,95,100,5.73,1605849178,2020-11-20 05:12:58,Northern
"byron bay, au",byron bay,au,-28.333408476556244,155.43167887659348,-28.6473671,153.601977,21.69268677469272,82.99,61,0,19.46,1605849180,2020-11-20 05:13:00,Southern
"lufilufi, ws",lufilufi,ws,-13.706604917063217,-171.43361113063173,-13.8765001,-171.6014507,11.738753812688076,84.2,83,75,4.7,1605849181,2020-11-20 05:13:01,Southern
"carinhanha, br",carinhanha,br,-14.550071054801833,-43.668766056285506,-14.3024774,-43.76801,17.107259364639447,70.25,96,99,4.94,1605849182,2020-11-20 05:13:02,Southern
"santa quiteria, br",santa quiteria,br,-4.378607883614151,-39.89191346569484,-4.3253745,-40.1527119,3.6781124341555365,76.68,72,35,2.35,1605849184,2020-11-20 05:13:04,Southern
"businga, cd",businga,cd,2.9053909202990553,21.024552608052375,3.3420568,20.8731737,30.171033525521597,72.21,85,61,2.1,1605849185,2020-11-20 05:13:05,Northern
"shekhupura, pk",shekhupura,pk,31.872315177084673,73.9562372220584,31.7166617,73.98502429999999,10.754736043727457,59.0,54,0,4.7,1605849187,2020-11-20 05:13:07,Northern
"petropavlovskoye, ru",petropavlovskoye,ru,52.133642623436884,84.33427663827996,52.0698041,84.0894562,4.4108649664892345,18.75,84,95,2.86,1605849188,2020-11-20 05:13:08,Northern
"bandarbeyla, so",bandarbeyla,so,8.759306821409254,52.18779602962246,9.498579999999999,50.8105261,51.07941080960078,78.6,63,98,21.0,1605849189,2020-11-20 05:13:09,Northern
"opuwo, na",opuwo,na,-17.35732908222731,13.898619592333233,-18.0580139,13.8361177,48.41318296341817,70.59,31,15,0.85,1605849190,2020-11-20 05:13:10,Southern
"balkhash, kz",balkhash,kz,47.288624220444575,75.85879150610685,46.8435126,74.9809805,30.75458433397616,3.2,77,20,11.18,1605849192,2020-11-20 05:13:12,Northern
"marovoay, mg",marovoay,mg,-16.938996899661518,46.38837168757317,-16.1073563,46.6463975,57.46145412313112,86.0,70,40,5.82,1605849194,2020-11-20 05:13:14,Southern
"saint-paul, re",saint-paul,re,-20.812944095600713,52.830372510220656,-21.0452623,55.33647029999999,16.051815952096373,80.6,51,0,11.41,1605849010,2020-11-20 05:10:10,Southern
"linxia, cn",linxia,cn,34.9280050683776,103.30981208628407,35.601182,103.210538,46.51255048023687,43.84,55,100,5.77,1605849196,2020-11-20 05:13:16,Northern
"araguari, br",araguari,br,-18.601780916153473,-48.17293940070326,-18.6459014,-48.1979841,3.048464877098702,68.0,88,40,8.05,1605849197,2020-11-20 05:13:17,Southern
"cavalcante, br",cavalcante,br,-14.146991071060228,-47.917430358855825,-13.7975426,-47.4604406,24.14482565713871,67.01,93,88,1.97,1605849198,2020-11-20 05:13:18,Southern
"great bend, us",great bend,us,37.59435711498416,-98.88292982097536,38.3644567,-98.7648073,53.20933344601034,52.0,75,1,6.93,1605849199,2020-11-20 05:13:19,Northern
"lipany, sk",lipany,sk,49.212109905962706,20.94602961556808,49.1546315,20.9620385,3.9714184091551314,41.0,85,100,3.62,1605849200,2020-11-20 05:13:20,Northern
"kashi, cn",kashi,cn,40.16986009189719,77.3718326792033,39.467685,75.99378999999999,48.51615210449968,35.6,80,40,6.71,1605849202,2020-11-20 05:13:22,Northern
"micheweni, tz",micheweni,tz,-5.222045324285418,41.22410139245238,-4.982972,39.8328613,16.518554843380905,80.96,81,16,12.06,1605849203,2020-11-20 05:13:23,Southern
"eyl, so",eyl,so,7.423500534305276,52.260791216479845,7.980799599999999,49.8150661,38.50607426972038,80.47,50,100,20.83,1605849204,2020-11-20 05:13:24,Northern
"campo grande, br",campo grande,br,-20.09907078901219,-54.53031554592819,-20.4697105,-54.6201211,25.609015189740592,64.4,72,0,4.7,1605849091,2020-11-20 05:11:31,Southern
"susangerd, ir",susangerd,ir,31.28130219165557,46.96015180037074,31.5566879,48.169733,19.027526136458263,62.6,67,75,2.24,1605849206,2020-11-20 05:13:26,Northern
"pinega, ru",pinega,ru,64.11755647339811,42.86647685626215,64.7000006,43.3910351,40.24344948243652,43.38,78,94,16.64,1605849207,2020-11-20 05:13:27,Northern
"laredo, us",laredo,us,27.879289533831084,-98.93091544347493,27.5035613,-99.5075519,25.96060206757238,69.8,68,1,11.41,1605849107,2020-11-20 05:11:47,Northern
