User Acct,Tweet ID,Tweet Time,Favorite Count,Tweet Text,Compound SA,Positive SA,Neutral SA,Negative SA
cnn,CNN,Tue Nov 24 00:19:50 +0000 2020,286,Apple's global head of security and two members of the Santa Clara County Sheriff's office have been indicted by a… https://t.co/zpbepx8yhC,0.34,0.107,0.893,0.0
cnn,CNN,Tue Nov 24 00:13:27 +0000 2020,684,"In a letter to environmental groups, General Motors announced it was withdrawing its support from Trump administrat… https://t.co/FaXqDunDtu",0.4019,0.137,0.863,0.0
cnn,CNN,Tue Nov 24 00:04:29 +0000 2020,168,A North Atlantic right whale calf was discovered dead on the shore of a barrier island off North Carolina on Friday… https://t.co/wIKXhtYwNZ,-0.7003,0.0,0.775,0.225
cnn,CNN,Mon Nov 23 23:47:23 +0000 2020,1319,Read the letter: https://t.co/QiIAktOQpp,0.0,0.0,1.0,0.0
cnn,CNN,Mon Nov 23 23:22:12 +0000 2020,16777,JUST IN: The Trump administration has informed President-elect Joe Biden that they are ready to begin the formal tr… https://t.co/NBeFQRV752,0.3612,0.116,0.884,0.0
cnn,CNN,Mon Nov 23 23:07:45 +0000 2020,227,Here are a few winter romcoms to take our minds off real life https://t.co/Dxx8yW96ZM,0.0,0.0,1.0,0.0
foxnews,Fox News,Tue Nov 24 02:23:00 +0000 2020,162,Rand Paul says DC US Attorney won't investigate RNC protestors who confronted him at RNC https://t.co/cFdPZicmJp,-0.2023,0.0,0.893,0.107
foxnews,Fox News,Tue Nov 24 02:11:29 +0000 2020,356,WATCH: NY business owners demand warrant when health inspector barges inside over Cuomo COVID restriction https://t.co/xNvp2wgxx2,-0.3818,0.0,0.795,0.205
foxnews,Fox News,Tue Nov 24 01:08:10 +0000 2020,470,'Jeopardy!' taps Ken Jennings as first guest host for show's restart https://t.co/BWzMXwayzD,-0.5255,0.0,0.764,0.236
foxnews,Fox News,Tue Nov 24 01:04:07 +0000 2020,236,Feinstein won't seek top Judiciary Committee spot after complaints from progressives https://t.co/2RJTrZddC6,-0.5093,0.0,0.7,0.3
